species	longitude	latitude
Myrmecophaga tridactyla	-49.17089018	-18.88039318
Myrmecophaga tridactyla	-56.00210833	-21.33393
Myrmecophaga tridactyla	-49.55872113	-18.71290933
Myrmecophaga tridactyla	-55.88120168	-14.96912274
Myrmecophaga tridactyla	-49.61957036	-18.96115103
Myrmecophaga tridactyla	-49.17089272	-18.88039006
Myrmecophaga tridactyla	-56.01466139	-15.26132768
Myrmecophaga tridactyla	-56.58517666	-20.1565464
Myrmecophaga tridactyla	-50.03662441	-13.1528442
Myrmecophaga tridactyla	-56.59445783	-20.15291328
Myrmecophaga tridactyla	-50.33615796	-13.74196849
Myrmecophaga tridactyla	-50.33253867	-13.70418376
Myrmecophaga tridactyla	-50.33392708	-13.71813797
Myrmecophaga tridactyla	-49.54535031	-18.74680772
Myrmecophaga tridactyla	-52.41913511	-18.88413012
Myrmecophaga tridactyla	-51.99399371	-17.81258212
Myrmecophaga tridactyla	-49.61682535	-19.36745072
Myrmecophaga tridactyla	-49.25547998	-19.67806185
Myrmecophaga tridactyla	-49.69823132	-18.95784291
Myrmecophaga tridactyla	-51.75518727	-20.88959193
Myrmecophaga tridactyla	-52.53308125	-17.51735918
Myrmecophaga tridactyla	-49.30191256	-15.79179735
Myrmecophaga tridactyla	-55.8168	-15.41069722
Myrmecophaga tridactyla	-60.29705798	-12.67577274
Myrmecophaga tridactyla	-51.67188613	-20.77293783
Myrmecophaga tridactyla	-49.64753216	-20.64364396
Myrmecophaga tridactyla	-49.46571685	-18.32589696
Myrmecophaga tridactyla	-52.61299647	-17.43367034
Myrmecophaga tridactyla	-50.86750733	-18.83329513
Myrmecophaga tridactyla	-56.86390743	-19.9056598
Myrmecophaga tridactyla	-46.30920961	-20.30200632
Myrmecophaga tridactyla	-56.4825339	-20.19028595
Myrmecophaga tridactyla	-56.48251367	-20.19027701
Myrmecophaga tridactyla	-51.72589105	-20.81941004
Myrmecophaga tridactyla	-51.58529845	-20.53064727
Myrmecophaga tridactyla	-49.67825604	-16.59241057
